name,R_M1,N_M1,R_M2,N_M2,d,Xmax,Xmin,EAmax,EAmin,IEmax,IEmin,Omax,Omin,Qmax,Qmin,DBCmax,DBCmin
Ru-Sc,1.78,7,1.84,1,2.387,2.2,1.36,1.0463825,0.1882,7.3605,6.56149,0.84,0.43,1.624359,0.413523,1.5015,-0.952
Rh-Sc,1.73,8,1.84,1,2.465,2.28,1.36,1.142892,0.1882,7.4589,6.56149,0.84,0.31,1.704195,0.406693,1.0355,-2.2395
Pd-Sc,1.69,10,1.84,1,2.388,2.2,1.36,0.5621412,0.1882,8.336839,6.56149,0.84,-0.03,1.676269,0.113384,1.5365,-2.5355
Ag-Sc,1.65,10,1.84,1,2.623,1.93,1.36,1.304473,0.1882,7.576234,6.56149,0.84,0.1,1.712715,0.400527,1.0135,-4.7995
Cd-Sc,1.61,10,1.84,1,2.999,1.69,1.36,0.1882,-0.72,8.99382,6.56149,0.84,0.25,1.865935,0.098714,1.135,-8.439
Hf-Sc,2.08,2,1.84,1,2.837,1.36,1.3,0.1882,0.17807,6.82507,6.56149,1.0,0.84,1.431831,1.268765,1.311,0.6115
Ta-Sc,2.0,3,1.84,1,2.646,1.5,1.36,0.32312,0.1882,7.549571,6.56149,0.84,0.75,1.453505,1.238308,1.757,0.5615
W-Sc,1.93,4,1.84,1,2.575,2.36,1.36,0.816268,0.1882,7.86403,6.56149,0.85,0.84,1.511806,0.986964,1.726,0.03
Re-Sc,1.88,5,1.84,1,2.514,1.9,1.36,0.1882,0.06039663,7.83352,6.56149,0.84,0.5,1.568886,0.652832,1.5425,-0.721
Os-Sc,1.85,6,1.84,1,2.451,2.2,1.36,1.0778013,0.1882,8.43823,6.56149,0.84,0.43,1.61767,0.42095,1.522,-1.1555
Ir-Sc,1.8,7,1.84,1,2.518,2.2,1.36,1.5643615,0.1882,8.96702,6.56149,0.84,0.44,1.713984,0.392021,1.018,-2.3065
Pt-Sc,1.77,9,1.84,1,2.42,2.28,1.36,2.125105,0.1882,8.95883,6.56149,0.84,0.11,1.677941,0.052727,1.7325,-2.5165
Au-Sc,1.74,10,1.84,1,2.577,2.54,1.36,2.30861025,0.1882,9.225554,6.56149,0.84,0.0,1.736464,0.278489,1.141,-4.711
Ti-Ti,1.76,2,1.76,2,2.505,1.54,1.54,0.075545,0.075545,6.82812,6.82812,1.04,1.04,1.289579,1.229482,0.684,0.684
V-Ti,1.71,3,1.76,2,2.58,1.63,1.54,0.527662,0.075545,6.82812,6.746187,1.04,0.79,1.336014,1.148598,0.6865,0.6115
Cr-Ti,1.66,5,1.76,2,2.667,1.66,1.54,0.6758412,0.075545,6.82812,6.76651,1.04,0.61,1.350825,1.09818,0.5605,-0.3025
Mn-Ti,1.61,5,1.76,2,2.429,1.55,1.54,0.075545,-0.52,7.434038,6.82812,1.04,0.37,1.424969,0.873423,0.7385,-0.7735
Fe-Ti,1.56,6,1.76,2,2.207,1.83,1.54,0.15323634,0.075545,7.9024681,6.82812,1.04,0.43,1.376952,0.487843,1.0965,-0.5455
Co-Ti,1.52,7,1.76,2,2.05,1.88,1.54,0.662265,0.075545,7.88101,6.82812,1.04,0.39,1.502881,0.354504,0.695,-1.099
Ni-Ti,1.49,8,1.76,2,2.246,1.91,1.54,1.1571612,0.075545,7.639878,6.82812,1.04,0.19,1.50373,0.389587,0.6735,-1.7035
Cu-Ti,1.45,10,1.76,2,2.559,1.9,1.54,1.235784,0.075545,7.72638,6.82812,1.04,0.19,1.487985,0.55389,0.673,-2.9185
Zn-Ti,1.42,10,1.76,2,2.612,1.65,1.54,0.075545,-0.62,9.394197,6.82812,1.04,0.24,1.573876,0.295946,0.743,-6.1855
Y-Ti,2.12,1,1.76,2,2.829,1.54,1.22,0.30712,0.075545,6.82812,6.21726,1.04,0.81,1.575507,1.064981,1.4525,1.0055
Zr-Ti,2.06,2,1.76,2,2.644,1.54,1.33,0.433289,0.075545,6.82812,6.634126,1.04,0.84,1.349771,1.135063,0.9765,0.8905
Nb-Ti,1.98,4,1.76,2,2.117,1.6,1.54,0.917407,0.075545,6.82812,6.75885,1.04,0.81,1.154357,0.960584,1.0895,0.467
Mo-Ti,1.9,5,1.76,2,2.356,2.16,1.54,0.74733,0.075545,7.09243,6.82812,1.04,0.62,1.410103,0.932048,0.637,-0.304
Tc-Ti,1.83,5,1.76,2,2.245,1.9,1.54,0.552,0.075545,7.11938,6.82812,1.04,0.5,1.432186,0.619188,0.677,-0.7375
Ru-Ti,1.78,7,1.76,2,2.209,2.2,1.54,1.0463825,0.075545,7.3605,6.82812,1.04,0.43,1.458049,0.436442,0.7095,-1.2285
Rh-Ti,1.73,8,1.76,2,2.148,2.28,1.54,1.142892,0.075545,7.4589,6.82812,1.04,0.31,1.52392,0.203096,0.7115,-1.829
Pd-Ti,1.69,10,1.76,2,2.329,2.2,1.54,0.5621412,0.075545,8.336839,6.82812,1.04,-0.03,1.5343,0.219445,0.6,-2.9325
Ag-Ti,1.65,10,1.76,2,2.582,1.93,1.54,1.304473,0.075545,7.576234,6.82812,1.04,0.1,1.488975,0.434267,0.6055,-4.6925
Cd-Ti,1.61,10,1.76,2,3.11,1.69,1.54,0.075545,-0.72,8.99382,6.82812,1.04,0.25,1.614773,0.08636,0.6605,-8.079
Hf-Ti,2.08,2,1.76,2,2.69,1.54,1.3,0.17807,0.075545,6.82812,6.82507,1.04,1.0,1.287299,1.160073,1.101,1.0445
Ta-Ti,2.0,3,1.76,2,2.4,1.54,1.5,0.32312,0.075545,7.549571,6.82812,1.04,0.75,1.226891,0.98389,0.952,0.4565
W-Ti,1.93,4,1.76,2,2.395,2.36,1.54,0.816268,0.075545,7.86403,6.82812,1.04,0.85,1.350607,0.98726,0.6645,-0.1075
Re-Ti,1.88,5,1.76,2,2.177,1.9,1.54,0.075545,0.06039663,7.83352,6.82812,1.04,0.5,1.37627,0.47453,1.143,-0.629
Os-Ti,1.85,6,1.76,2,2.266,2.2,1.54,1.0778013,0.075545,8.43823,6.82812,1.04,0.43,1.474917,0.434387,0.7395,-1.385
Ir-Ti,1.8,7,1.76,2,2.198,2.2,1.54,1.5643615,0.075545,8.96702,6.82812,1.04,0.44,1.54849,0.163229,0.769,-1.8715
Pt-Ti,1.77,9,1.76,2,2.34,2.28,1.54,2.125105,0.075545,8.95883,6.82812,1.04,0.11,1.592736,0.171719,0.5505,-3.058
Au-Ti,1.74,10,1.76,2,2.548,2.54,1.54,2.30861025,0.075545,9.225554,6.82812,1.04,0.0,1.515412,0.321842,0.617,-4.641
V-V,1.71,3,1.71,3,2.439,1.63,1.63,0.527662,0.527662,6.746187,6.746187,0.79,0.79,1.159118,1.135896,0.6175,0.6175
Cr-V,1.66,5,1.71,3,2.646,1.66,1.63,0.6758412,0.527662,6.76651,6.746187,0.79,0.61,1.168797,1.107485,0.739,-0.0835
Mn-V,1.61,5,1.71,3,2.621,1.63,1.55,0.527662,-0.52,7.434038,6.746187,0.79,0.37,1.150384,1.065074,0.745,-1.253
Fe-V,1.56,6,1.71,3,1.912,1.83,1.63,0.527662,0.15323634,7.9024681,6.746187,0.79,0.43,1.227081,0.607686,0.7075,-0.888
Co-V,1.52,7,1.71,3,2.105,1.88,1.63,0.662265,0.527662,7.88101,6.746187,0.79,0.39,1.292,0.466245,0.5655,-1.123
Ni-V,1.49,8,1.71,3,2.229,1.91,1.63,1.1571612,0.527662,7.639878,6.746187,0.79,0.19,1.330219,0.450278,0.456,-1.783
Cu-V,1.45,10,1.71,3,2.463,1.9,1.63,1.235784,0.527662,7.72638,6.746187,0.79,0.19,1.283201,0.563303,0.747,-2.764
Zn-V,1.42,10,1.71,3,2.57,1.65,1.63,0.527662,-0.62,9.394197,6.746187,0.79,0.24,1.319527,0.446946,1.0285,-6.1145
Y-V,2.12,1,1.71,3,2.747,1.63,1.22,0.527662,0.30712,6.746187,6.21726,0.81,0.79,1.691832,1.095687,1.13,0.8005
Zr-V,2.06,2,1.71,3,2.497,1.63,1.33,0.527662,0.433289,6.746187,6.634126,0.84,0.79,1.470746,1.069943,1.0785,0.591
Nb-V,1.98,4,1.71,3,2.361,1.63,1.6,0.917407,0.527662,6.75885,6.746187,0.81,0.79,1.249324,1.130925,0.639,0.4745
Mo-V,1.9,5,1.71,3,2.406,2.16,1.63,0.74733,0.527662,7.09243,6.746187,0.79,0.62,1.13689,0.987683,0.733,-0.225
Tc-V,1.83,5,1.71,3,2.161,1.9,1.63,0.552,0.527662,7.11938,6.746187,0.79,0.5,1.227446,0.686964,0.64,-0.668
Ru-V,1.78,7,1.71,3,2.202,2.2,1.63,1.0463825,0.527662,7.3605,6.746187,0.79,0.43,1.325492,0.524544,0.343,-1.355
Rh-V,1.73,8,1.71,3,2.325,2.28,1.63,1.142892,0.527662,7.4589,6.746187,0.79,0.31,1.318852,0.420325,0.4015,-2.095
Pd-V,1.69,10,1.71,3,2.363,2.2,1.63,0.5621412,0.527662,8.336839,6.746187,0.79,-0.03,1.30831,0.260651,0.682,-2.6675
Ag-V,1.65,10,1.71,3,2.771,1.93,1.63,1.304473,0.527662,7.576234,6.746187,0.79,0.1,1.341808,0.343235,0.9975,-3.6005
Cd-V,1.61,10,1.71,3,2.82,1.69,1.63,0.527662,-0.72,8.99382,6.746187,0.79,0.25,1.375495,0.248805,0.9945,-7.649
Hf-V,2.08,2,1.71,3,2.616,1.63,1.3,0.527662,0.17807,6.82507,6.746187,1.0,0.79,1.442742,1.097771,0.836,0.65
Ta-V,2.0,3,1.71,3,2.384,1.63,1.5,0.527662,0.32312,7.549571,6.746187,0.79,0.75,1.31307,1.119015,0.6065,0.531
W-V,1.93,4,1.71,3,2.434,2.36,1.63,0.816268,0.527662,7.86403,6.746187,0.85,0.79,1.115091,1.070329,0.811,-0.123
Re-V,1.88,5,1.71,3,2.25,1.9,1.63,0.527662,0.06039663,7.83352,6.746187,0.79,0.5,1.233669,0.714934,0.586,-0.741
Os-V,1.85,6,1.71,3,2.085,2.2,1.63,1.0778013,0.527662,8.43823,6.746187,0.79,0.43,1.310141,0.404052,0.4695,-1.3165
Ir-V,1.8,7,1.71,3,2.18,2.2,1.63,1.5643615,0.527662,8.96702,6.746187,0.79,0.44,1.362115,0.274433,0.42,-1.964
Pt-V,1.77,9,1.71,3,2.318,2.28,1.63,2.125105,0.527662,8.95883,6.746187,0.79,0.11,1.368571,0.229865,0.4385,-2.9885
Au-V,1.74,10,1.71,3,2.484,2.54,1.63,2.30861025,0.527662,9.225554,6.746187,0.79,0.0,1.330363,0.35044,0.6645,-4.7055
Cr-Cr,1.66,5,1.66,5,2.57,1.66,1.66,0.6758412,0.6758412,6.76651,6.76651,0.61,0.61,1.034519,1.028084,0.348,0.348
Mn-Cr,1.61,5,1.66,5,2.553,1.66,1.55,0.6758412,-0.52,7.434038,6.76651,0.61,0.37,1.102136,1.060687,0.13,-1.144
Fe-Cr,1.56,6,1.66,5,2.512,1.83,1.66,0.6758412,0.15323634,7.9024681,6.76651,0.61,0.43,1.135635,0.76989,0.304,-1.031
Co-Cr,1.52,7,1.66,5,2.435,1.88,1.66,0.6758412,0.662265,7.88101,6.76651,0.61,0.39,1.129811,0.548183,0.402,-0.824
Ni-Cr,1.49,8,1.66,5,2.357,1.91,1.66,1.1571612,0.6758412,7.639878,6.76651,0.61,0.19,1.163623,0.47895,0.2345,-1.4065
Cu-Cr,1.45,10,1.66,5,2.417,1.9,1.66,1.235784,0.6758412,7.72638,6.76651,0.61,0.19,1.174497,0.578361,0.2295,-2.8665
Zn-Cr,1.42,10,1.66,5,2.596,1.66,1.65,0.6758412,-0.62,9.394197,6.76651,0.61,0.24,1.213789,0.593144,0.109,-6.5555
Y-Cr,2.12,1,1.66,5,2.832,1.66,1.22,0.6758412,0.30712,6.76651,6.21726,0.81,0.61,1.574427,1.024776,1.425,0.028
Zr-Cr,2.06,2,1.66,5,2.554,1.66,1.33,0.6758412,0.433289,6.76651,6.634126,0.84,0.61,1.53903,0.937241,0.942,0.1495
Nb-Cr,1.98,4,1.66,5,2.378,1.66,1.6,0.917407,0.6758412,6.76651,6.75885,0.81,0.61,1.297241,0.950963,0.4935,0.22
Mo-Cr,1.9,5,1.66,5,2.384,2.16,1.66,0.74733,0.6758412,7.09243,6.76651,0.62,0.61,1.041857,1.03768,0.1655,-0.271
Tc-Cr,1.83,5,1.66,5,2.264,1.9,1.66,0.6758412,0.552,7.11938,6.76651,0.61,0.5,1.127493,0.841119,-0.252,-1.051
Ru-Cr,1.78,7,1.66,5,2.266,2.2,1.66,1.0463825,0.6758412,7.3605,6.76651,0.61,0.43,1.180309,0.543694,-0.2035,-1.187
Rh-Cr,1.73,8,1.66,5,2.452,2.28,1.66,1.142892,0.6758412,7.4589,6.76651,0.61,0.31,1.184395,0.439383,0.0575,-1.8095
Pd-Cr,1.69,10,1.66,5,2.379,2.2,1.66,0.6758412,0.5621412,8.336839,6.76651,0.61,-0.03,1.190507,0.282918,0.208,-2.6395
Ag-Cr,1.65,10,1.66,5,2.753,1.93,1.66,1.304473,0.6758412,7.576234,6.76651,0.61,0.1,1.278236,0.443236,-0.017,-3.874
Cd-Cr,1.61,10,1.66,5,3.174,1.69,1.66,0.6758412,-0.72,8.99382,6.76651,0.61,0.25,1.283845,0.086969,0.643,-7.097
Hf-Cr,2.08,2,1.66,5,2.591,1.66,1.3,0.6758412,0.17807,6.82507,6.76651,1.0,0.61,1.532632,0.920213,1.052,0.2185
Ta-Cr,2.0,3,1.66,5,2.606,1.66,1.5,0.6758412,0.32312,7.549571,6.76651,0.75,0.61,1.266809,1.053123,0.0935,0.0795
W-Cr,1.93,4,1.66,5,2.415,2.36,1.66,0.816268,0.6758412,7.86403,6.76651,0.85,0.61,1.142499,1.022062,0.2085,-0.104
Re-Cr,1.88,5,1.66,5,2.302,1.9,1.66,0.6758412,0.06039663,7.83352,6.76651,0.61,0.5,1.008461,0.717475,0.0395,-0.807
Os-Cr,1.85,6,1.66,5,2.297,2.2,1.66,1.0778013,0.6758412,8.43823,6.76651,0.61,0.43,1.180463,0.5623,-0.2205,-1.491
Ir-Cr,1.8,7,1.66,5,2.187,2.2,1.66,1.5643615,0.6758412,8.96702,6.76651,0.61,0.44,1.181844,0.368514,-0.1045,-2.0965
Pt-Cr,1.77,9,1.66,5,2.376,2.28,1.66,2.125105,0.6758412,8.95883,6.76651,0.61,0.11,1.209374,0.255181,0.187,-2.776
Au-Cr,1.74,10,1.66,5,2.435,2.54,1.66,2.30861025,0.6758412,9.225554,6.76651,0.61,0.0,1.188756,0.342319,0.4325,-4.4685
Mn-Mn,1.61,5,1.61,5,2.465,1.55,1.55,-0.52,-0.52,7.434038,7.434038,0.37,0.37,1.023223,1.018828,-0.9105,-0.9105
Fe-Mn,1.56,6,1.61,5,2.353,1.83,1.55,0.15323634,-0.52,7.9024681,7.434038,0.43,0.37,1.085228,0.772526,-0.8475,-0.929
Co-Mn,1.52,7,1.61,5,2.286,1.88,1.55,0.662265,-0.52,7.88101,7.434038,0.39,0.37,1.041801,0.512284,-0.2965,-0.499
Ni-Mn,1.49,8,1.61,5,2.286,1.91,1.55,1.1571612,-0.52,7.639878,7.434038,0.37,0.19,1.159741,0.476054,-0.9535,-1.4115
Cu-Mn,1.45,10,1.61,5,2.419,1.9,1.55,1.235784,-0.52,7.72638,7.434038,0.37,0.19,1.180995,0.625616,-1.305,-3.2585
Zn-Mn,1.42,10,1.61,5,2.541,1.65,1.55,-0.52,-0.62,9.394197,7.434038,0.37,0.24,1.11512,0.945689,-1.248,-7.484
Y-Mn,2.12,1,1.61,5,2.733,1.55,1.22,0.30712,-0.52,7.434038,6.21726,0.81,0.37,1.733462,0.865083,1.485,-0.623
Zr-Mn,2.06,2,1.61,5,2.521,1.55,1.33,0.433289,-0.52,7.434038,6.634126,0.84,0.37,1.600874,0.846536,0.9985,-0.6365
Nb-Mn,1.98,4,1.61,5,2.426,1.6,1.55,0.917407,-0.52,7.434038,6.75885,0.81,0.37,1.371825,0.902488,0.338,-0.851
Mo-Mn,1.9,5,1.61,5,2.135,2.16,1.55,0.74733,-0.52,7.434038,7.09243,0.62,0.37,1.018271,0.844303,-0.141,-0.4815
Tc-Mn,1.83,5,1.61,5,2.381,1.9,1.55,0.552,-0.52,7.434038,7.11938,0.5,0.37,1.042799,0.807052,-0.7075,-0.8485
Ru-Mn,1.78,7,1.61,5,2.133,2.2,1.55,1.0463825,-0.52,7.434038,7.3605,0.43,0.37,1.001612,0.56847,-0.616,-1.2125
Rh-Mn,1.73,8,1.61,5,2.379,2.28,1.55,1.142892,-0.52,7.4589,7.434038,0.37,0.31,1.167355,0.396492,-0.9075,-1.5275
Pd-Mn,1.69,10,1.61,5,2.316,2.2,1.55,0.5621412,-0.52,8.336839,7.434038,0.37,-0.03,1.194329,0.295018,-0.9165,-2.6595
Ag-Mn,1.65,10,1.61,5,2.408,1.93,1.55,1.304473,-0.52,7.576234,7.434038,0.37,0.1,1.200616,0.507394,-1.3495,-5.238
Cd-Mn,1.61,10,1.61,5,2.764,1.69,1.55,-0.52,-0.72,8.99382,7.434038,0.37,0.25,1.230407,0.391661,-1.1295,-7.8445
Hf-Mn,2.08,2,1.61,5,2.526,1.55,1.3,0.17807,-0.52,7.434038,6.82507,1.0,0.37,1.589288,0.827336,1.0825,-0.6115
Ta-Mn,2.0,3,1.61,5,2.438,1.55,1.5,0.32312,-0.52,7.549571,7.434038,0.75,0.37,1.42724,0.871719,0.423,-0.7165
W-Mn,1.93,4,1.61,5,2.171,2.36,1.55,0.816268,-0.52,7.86403,7.434038,0.85,0.37,1.114408,0.820684,0.027,-0.4015
Re-Mn,1.88,5,1.61,5,2.136,1.9,1.55,0.06039663,-0.52,7.83352,7.434038,0.5,0.37,0.928874,0.871057,-0.718,-1.0275
Os-Mn,1.85,6,1.61,5,2.148,2.2,1.55,1.0778013,-0.52,8.43823,7.434038,0.43,0.37,0.987422,0.595678,-0.601,-1.488
Ir-Mn,1.8,7,1.61,5,2.303,2.2,1.55,1.5643615,-0.52,8.96702,7.434038,0.44,0.37,1.108142,0.373713,-0.757,-1.798
Pt-Mn,1.77,9,1.61,5,2.323,2.28,1.55,2.125105,-0.52,8.95883,7.434038,0.37,0.11,1.196359,0.252291,-0.8095,-2.691
Au-Mn,1.74,10,1.61,5,2.389,2.54,1.55,2.30861025,-0.52,9.225554,7.434038,0.37,0.0,1.22737,0.405961,-1.2815,-5.03
Fe-Fe,1.56,6,1.56,6,2.215,1.83,1.83,0.15323634,0.15323634,7.9024681,7.9024681,0.43,0.43,0.815084,0.810485,-0.883,-0.883
Co-Fe,1.52,7,1.56,6,2.179,1.88,1.83,0.662265,0.15323634,7.9024681,7.88101,0.43,0.39,0.865926,0.596042,-0.961,-1.0625
Ni-Fe,1.49,8,1.56,6,2.305,1.91,1.83,1.1571612,0.15323634,7.9024681,7.639878,0.43,0.19,0.936571,0.547843,-1.324,-1.562
Cu-Fe,1.45,10,1.56,6,2.417,1.9,1.83,1.235784,0.15323634,7.9024681,7.72638,0.43,0.19,0.897561,0.642776,-1.1285,-3.033
Zn-Fe,1.42,10,1.56,6,2.479,1.83,1.65,0.15323634,-0.62,9.394197,7.9024681,0.43,0.24,0.965752,0.831881,-1.1105,-7.236
Y-Fe,2.12,1,1.56,6,2.593,1.83,1.22,0.30712,0.15323634,7.9024681,6.21726,0.81,0.43,1.734396,0.649376,1.5425,-1.0365
Zr-Fe,2.06,2,1.56,6,2.355,1.83,1.33,0.433289,0.15323634,7.9024681,6.634126,0.84,0.43,1.591608,0.581076,1.0315,-0.9845
Nb-Fe,1.98,4,1.56,6,2.101,1.83,1.6,0.917407,0.15323634,7.9024681,6.75885,0.81,0.43,1.350525,0.524199,0.511,-0.769
Mo-Fe,1.9,5,1.56,6,2.066,2.16,1.83,0.74733,0.15323634,7.9024681,7.09243,0.62,0.43,1.196306,0.600203,-0.4705,-0.9945
Tc-Fe,1.83,5,1.56,6,2.096,1.9,1.83,0.552,0.15323634,7.9024681,7.11938,0.5,0.43,0.890832,0.707071,-0.779,-0.91
Ru-Fe,1.78,7,1.56,6,2.191,2.2,1.83,1.0463825,0.15323634,7.9024681,7.3605,0.43,0.43,0.839644,0.626139,-1.0415,-1.0935
Rh-Fe,1.73,8,1.56,6,2.255,2.28,1.83,1.142892,0.15323634,7.9024681,7.4589,0.43,0.31,0.945722,0.414818,-1.1,-1.4335
Pd-Fe,1.69,10,1.56,6,2.328,2.2,1.83,0.5621412,0.15323634,8.336839,7.9024681,0.43,-0.03,0.964432,0.378534,-1.322,-2.821
Ag-Fe,1.65,10,1.56,6,2.44,1.93,1.83,1.304473,0.15323634,7.9024681,7.576234,0.43,0.1,0.898787,0.516696,-1.0535,-4.64
Cd-Fe,1.61,10,1.56,6,2.75,1.83,1.69,0.15323634,-0.72,8.99382,7.9024681,0.43,0.25,0.953787,0.41093,-0.8355,-7.4665
Hf-Fe,2.08,2,1.56,6,2.383,1.83,1.3,0.17807,0.15323634,7.9024681,6.82507,1.0,0.43,1.569753,0.48677,1.2475,-0.4965
Ta-Fe,2.0,3,1.56,6,2.141,1.83,1.5,0.32312,0.15323634,7.9024681,7.549571,0.75,0.43,1.413559,0.495979,0.561,-0.6415
W-Fe,1.93,4,1.56,6,2.101,2.36,1.83,0.816268,0.15323634,7.9024681,7.86403,0.85,0.43,1.298434,0.628924,-0.388,-1.1355
Re-Fe,1.88,5,1.56,6,2.095,1.9,1.83,0.15323634,0.06039663,7.9024681,7.83352,0.5,0.43,0.932984,0.69346,-0.838,-0.9555
Os-Fe,1.85,6,1.56,6,2.19,2.2,1.83,1.0778013,0.15323634,8.43823,7.9024681,0.43,0.43,0.842579,0.651196,-1.2045,-1.442
Ir-Fe,1.8,7,1.56,6,2.258,2.2,1.83,1.5643615,0.15323634,8.96702,7.9024681,0.44,0.43,0.945408,0.417571,-1.101,-1.638
Pt-Fe,1.77,9,1.56,6,2.323,2.28,1.83,2.125105,0.15323634,8.95883,7.9024681,0.43,0.11,1.004862,0.351882,-1.4695,-2.9475
Au-Fe,1.74,10,1.56,6,2.384,2.54,1.83,2.30861025,0.15323634,9.225554,7.9024681,0.43,0.0,0.930748,0.441452,-1.1265,-4.7255
Co-Co,1.52,7,1.52,7,2.257,1.88,1.88,0.662265,0.662265,7.88101,7.88101,0.39,0.39,0.678109,0.670988,-1.165,-1.165
Ni-Co,1.49,8,1.52,7,2.331,1.91,1.88,1.1571612,0.662265,7.88101,7.639878,0.39,0.19,0.69945,0.555588,-0.824,-1.0715
Cu-Co,1.45,10,1.52,7,2.422,1.9,1.88,1.235784,0.662265,7.88101,7.72638,0.39,0.19,0.668391,0.661949,-0.779,-2.737
Zn-Co,1.42,10,1.52,7,2.423,1.88,1.65,0.662265,-0.62,9.394197,7.88101,0.39,0.24,0.971989,0.639731,-0.9665,-7.116
Y-Co,2.12,1,1.52,7,2.513,1.88,1.22,0.662265,0.30712,7.88101,6.21726,0.81,0.39,1.733262,0.441213,1.6565,-0.8815
Zr-Co,2.06,2,1.52,7,2.226,1.88,1.33,0.662265,0.433289,7.88101,6.634126,0.84,0.39,1.630748,0.339557,1.115,-0.8775
Nb-Co,1.98,4,1.52,7,2.181,1.88,1.6,0.917407,0.662265,7.88101,6.75885,0.81,0.39,1.49492,0.4341,0.2605,-1.2485
Mo-Co,1.9,5,1.52,7,2.168,2.16,1.88,0.74733,0.662265,7.88101,7.09243,0.62,0.39,1.240475,0.504212,-0.4025,-1.256
Tc-Co,1.83,5,1.52,7,2.202,1.9,1.88,0.662265,0.552,7.88101,7.11938,0.5,0.39,0.964413,0.611601,-0.915,-1.3045
Ru-Co,1.78,7,1.52,7,2.24,2.2,1.88,1.0463825,0.662265,7.88101,7.3605,0.43,0.39,0.702858,0.698499,-1.031,-1.144
Rh-Co,1.73,8,1.52,7,2.312,2.28,1.88,1.142892,0.662265,7.88101,7.4589,0.39,0.31,0.729701,0.485281,-1.0845,-1.4315
Pd-Co,1.69,10,1.52,7,2.364,2.2,1.88,0.662265,0.5621412,8.336839,7.88101,0.39,-0.03,0.718255,0.398955,-0.8775,-2.4165
Ag-Co,1.65,10,1.52,7,2.39,1.93,1.88,1.304473,0.662265,7.88101,7.576234,0.39,0.1,0.671789,0.559687,-0.781,-4.6325
Cd-Co,1.61,10,1.52,7,2.69,1.88,1.69,0.662265,-0.72,8.99382,7.88101,0.39,0.25,0.76091,0.547715,-0.926,-7.701
Hf-Co,2.08,2,1.52,7,2.249,1.88,1.3,0.662265,0.17807,7.88101,6.82507,1.0,0.39,1.614524,0.345206,1.2065,-0.8155
Ta-Co,2.0,3,1.52,7,2.206,1.88,1.5,0.662265,0.32312,7.88101,7.549571,0.75,0.39,1.566607,0.413857,0.2725,-1.2155
W-Co,1.93,4,1.52,7,2.181,2.36,1.88,0.816268,0.662265,7.88101,7.86403,0.85,0.39,1.364805,0.479299,-0.279,-1.238
Re-Co,1.88,5,1.52,7,2.187,1.9,1.88,0.662265,0.06039663,7.88101,7.83352,0.5,0.39,1.022524,0.60189,-1.146,-1.5385
Os-Co,1.85,6,1.52,7,2.24,2.2,1.88,1.0778013,0.662265,8.43823,7.88101,0.43,0.39,0.716585,0.711205,-1.262,-1.2825
