name,Predicted value,Difference from optimal G
Au-Zn,-0.6245571563291666,0.7057571563291667
Y-Y,-3.1983503179305544,3.2795503179305543
Zr-Y,-3.44661900362222,3.52781900362222
Nb-Y,-3.7141999878166647,3.7953999878166647
Mo-Y,-3.5055764691505042,3.586776469150504
Tc-Y,-2.006993112647576,2.088193112647576
Ru-Y,-2.0475445223893094,2.1287445223893093
Rh-Y,-2.166573690774032,2.2477736907740318
Pd-Y,-1.872236197116667,1.953436197116667
Ag-Y,-2.0506395233235923,2.1318395233235923
Cd-Y,-1.439158046513889,1.5203580465138888
Hf-Y,-2.949171503888887,3.0303715038888868
Ta-Y,-3.997856305905556,4.0790563059055565
W-Y,-3.72981702706111,3.81101702706111
Re-Y,-2.01934093583091,2.1005409358309097
Os-Y,-1.9935119672058677,2.0747119672058676
Ir-Y,-1.9541512001822572,2.0353512001822573
Pt-Y,-1.8451276282125009,1.9263276282125008
Au-Y,-1.7908461475194453,1.8720461475194452
Zr-Zr,-3.7853847828763896,3.8665847828763895
Nb-Zr,-3.7492001185291657,3.8304001185291656
Mo-Zr,-3.4925188145185606,3.5737188145185605
Tc-Zr,-2.000102808494005,2.081302808494005
Ru-Zr,-2.0974702427123253,2.1786702427123252
Rh-Zr,-1.9942609043620132,2.0754609043620134
Pd-Zr,-1.8640603332416674,1.9452603332416674
Ag-Zr,-2.058689768098593,2.139889768098593
Cd-Zr,-1.4452736154583337,1.5264736154583336
Hf-Zr,-3.8850459087736127,3.9662459087736126
Ta-Zr,-4.139379105940279,4.220579105940279
W-Zr,-3.8998883867208325,3.9810883867208324
Re-Zr,-2.05561490006841,2.13681490006841
Os-Zr,-2.0046820775288836,2.0858820775288835
Ir-Zr,-1.8378746248021827,1.9190746248021826
Pt-Zr,-1.864738718437501,1.945938718437501
Au-Zr,-1.8202673707503128,1.9014673707503127
Nb-Nb,-3.6330258349819444,3.7142258349819444
Mo-Nb,-3.3572920513602265,3.4384920513602264
Tc-Nb,-1.955633392390169,2.036833392390169
Ru-Nb,-1.7983323249523382,1.8795323249523381
Rh-Nb,-1.9277066714703937,2.0089066714703936
Pd-Nb,-1.6821490766714289,1.7633490766714288
Ag-Nb,-1.814078740179545,1.895278740179545
Cd-Nb,-1.3500908108234129,1.4312908108234128
Hf-Nb,-3.9058327893625,3.9870327893625
Ta-Nb,-4.1349234762125,4.2161234762125
W-Nb,-3.7494191395291656,3.8306191395291656
Re-Nb,-1.8731561031600767,1.9543561031600767
Os-Nb,-1.7637848398872833,1.8449848398872832
Ir-Nb,-1.6593334359850531,1.740533435985053
Pt-Nb,-1.6581311498281752,1.7393311498281752
Au-Nb,-1.5662887429423764,1.6474887429423763
Mo-Mo,-1.5583775623105147,1.6395775623105147
Tc-Mo,-1.221370187590211,1.302570187590211
