name,Predicted value,Difference from optimal G
W-Ti,-3.3798605614354695,3.4610605614354695
Re-Ti,-2.494931678616533,2.576131678616533
Os-Ti,-2.0586912484014066,2.1398912484014065
Ir-Ti,-1.70733039948859,1.78853039948859
Pt-Ti,-1.6059121910788612,1.6871121910788611
Au-Ti,-1.531931220053968,1.613131220053968
V-V,-2.8830832562081348,2.9642832562081347
Cr-V,-2.3034419240198103,2.3846419240198102
Mn-V,-1.7337154160080477,1.8149154160080476
Fe-V,-1.2940758752666666,1.3752758752666665
Co-V,-1.219760646689653,1.3009606466896528
Ni-V,-1.06005211317056,1.14125211317056
Cu-V,-0.9941694647239046,1.0753694647239045
Zn-V,-0.9560149017963181,1.0372149017963181
Y-V,-3.3688212489061353,3.4500212489061353
Zr-V,-3.8012235508909944,3.8824235508909943
Nb-V,-3.369713528882265,3.450913528882265
Mo-V,-2.6861985182562123,2.767398518256212
Tc-V,-2.1168121736933645,2.1980121736933644
Ru-V,-1.58560714696503,1.6668071469650299
Rh-V,-1.3009224425899326,1.3821224425899326
Pd-V,-0.9946096247148999,1.0758096247148998
Ag-V,-1.1132390848996736,1.1944390848996735
Cd-V,-0.7700663348042676,0.8512663348042675
Hf-V,-3.853852353487449,3.935052353487449
Ta-V,-3.588531693717969,3.669731693717969
W-V,-3.000474679383995,3.081674679383995
Re-V,-2.1379017686293107,2.2191017686293106
Os-V,-1.4611865519310951,1.542386551931095
Ir-V,-1.2777562146442745,1.3589562146442744
Pt-V,-1.2073411116779527,1.2885411116779526
Au-V,-1.1835772750325786,1.2647772750325785
Cr-Cr,-1.8743063780674354,1.9555063780674353
Mn-Cr,-1.49384739378546,1.5750473937854599
Fe-Cr,-1.2095582908591074,1.2907582908591073
Co-Cr,-0.957234561751291,1.038434561751291
Ni-Cr,-0.7064621351382103,0.7876621351382103
Cu-Cr,-0.636294537182297,0.7174945371822969
Zn-Cr,-0.9457503998388803,1.0269503998388803
Y-Cr,-2.9763802572725107,3.0575802572725106
Zr-Cr,-3.3280560645735147,3.4092560645735146
Nb-Cr,-2.922200247291981,3.0034002472919807
Mo-Cr,-2.175839904441882,2.257039904441882
Tc-Cr,-1.7307669262902492,1.8119669262902491
Ru-Cr,-1.1490458144720517,1.2302458144720516
Rh-Cr,-0.9434120161638624,1.0246120161638623
Pd-Cr,-0.6671931889493626,0.7483931889493627
Ag-Cr,-0.8993126933586257,0.9805126933586257
Cd-Cr,-0.7054194635949598,0.7866194635949597
Hf-Cr,-3.388413822001038,3.4696138220010377
Ta-Cr,-3.1531781823823186,3.2343781823823186
W-Cr,-2.555193614366246,2.636393614366246
Re-Cr,-1.6415324299799994,1.7227324299799993
Os-Cr,-1.1791501603292773,1.2603501603292773
Ir-Cr,-0.8140984456090814,0.8952984456090813
Pt-Cr,-0.8121332256170299,0.8933332256170299
Au-Cr,-0.7610017605844549,0.842201760584455
Mn-Mn,-1.3623759569425382,1.4435759569425382
Fe-Mn,-1.0066176201101165,1.0878176201101164
Co-Mn,-0.666066083123138,0.7472660831231379
Ni-Mn,-0.547893391962265,0.629093391962265
Cu-Mn,-0.595659335687476,0.6768593356874759
Zn-Mn,-1.2987918473587112,1.3799918473587112
Y-Mn,-2.276478215219604,2.357678215219604
Zr-Mn,-2.4903262851380696,2.5715262851380696
Nb-Mn,-2.2042575918613094,2.2854575918613094
Mo-Mn,-1.371974767249378,1.453174767249378
Tc-Mn,-1.3343730080906044,1.4155730080906044
Ru-Mn,-0.5892897503382647,0.6704897503382647
Rh-Mn,-0.5490400044071574,0.6302400044071574
Pd-Mn,-0.4942455308668041,0.5754455308668041
Ag-Mn,-0.6474029504275969,0.7286029504275968
Cd-Mn,-0.9288691640832909,1.0100691640832908
Hf-Mn,-2.594180284391629,2.675380284391629
Ta-Mn,-2.348123085925254,2.429323085925254
W-Mn,-1.783347163655728,1.864547163655728
Re-Mn,-1.2046863858244723,1.2858863858244722
Os-Mn,-0.5530475860803414,0.6342475860803414
Ir-Mn,-0.49109613017681886,0.5722961301768188
Pt-Mn,-0.4623104645217715,0.5435104645217714
Au-Mn,-0.5377012650072093,0.6189012650072092
Fe-Fe,-0.4450178026799164,0.5262178026799165
Co-Fe,-0.12805400608679895,0.20925400608679895
Ni-Fe,-0.004579147706693876,0.08577914770669387
Cu-Fe,0.032131027261690814,0.04906897273830918
Zn-Fe,-0.8107569603642983,0.8919569603642983
Y-Fe,-2.5658299680720695,2.6470299680720695
Zr-Fe,-2.661023067222616,2.742223067222616
Nb-Fe,-2.0029457640212036,2.0841457640212036
Mo-Fe,-0.9611729819569045,1.0423729819569045
Tc-Fe,-0.6616129872762561,0.7428129872762561
Ru-Fe,-0.04909442840021794,0.13029442840021793
Rh-Fe,0.10775426783817887,0.02655426783817888
Pd-Fe,0.047089676647785295,0.0341103233522147
Ag-Fe,-0.029435860915243417,0.11063586091524341
Cd-Fe,-0.5510535699102989,0.6322535699102989
Hf-Fe,-2.752995794456706,2.834195794456706
Ta-Fe,-2.2312100037778455,2.3124100037778454
W-Fe,-1.4576646152995432,1.538864615299543
Re-Fe,-0.7888107379457443,0.8700107379457442
Os-Fe,-0.10622147105126101,0.187421471051261
Ir-Fe,0.008841574795242613,0.07235842520475738
Pt-Fe,0.07500767247940732,0.0061923275205926775
Au-Fe,0.13768972919566425,0.05648972919566425
Co-Co,0.06827808193401697,0.012921918065983029
Ni-Co,0.23206773003671333,0.15086773003671333
